arte-chatbot-backend  | INFO:     Started server process [1]
arte-chatbot-backend  | INFO:     127.0.0.1:36656 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59822 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40112 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37474 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43692 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:41304 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35858 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43460 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:55268 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60636 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:57804 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:33330 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35948 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35018 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48524 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:58194 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:57796 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46688 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:37714 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42310 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35930 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:47962 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:48654 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42868 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:51330 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60226 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46776 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:49936 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:54356 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:54790 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38576 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:51426 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:43198 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:54892 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:36952 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59054 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40392 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:39460 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:42262 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:60612 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:38226 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35716 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:41094 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35638 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40982 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:46366 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40446 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:50974 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:35232 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:49714 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:59536 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:40448 - "GET /health HTTP/1.1" 200 OK
arte-chatbot-backend  | INFO:     127.0.0.1:54036 - "GET /health HTTP/1.1" 200 OK
